#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
223,00:09:43:00,00:09:44:08,00:00:01:08,Teacher A,English,"Alright, waterfall.",,,a,no
224,00:09:45:22,00:09:47:29,00:00:02:07,Teacher A,English,"Eyes up here here, please, thank you.",,,a,no
225,00:09:48:18,00:09:57:19,00:00:09:01,Teacher A,English,"So, I heard some really great conversations about what's happening to the cost, so in the tax category, what is happening to the cost?",,,a,no
226,00:09:58:12,00:10:02:25,00:00:04:13,Teacher A,English,"Just to find the tax, what do you do to the cost?",,,a,no
227,00:10:03:19,00:10:05:27,00:00:02:08,Student A9,English,Point zero seven [unintelligible].,,,a,yes
228,00:10:09:08,00:10:12:27,00:00:03:19,Teacher A,English,"Also, a lot of people got this one right, so it's not just one person.",,,a,no
229,00:10:12:29,00:10:14:09,00:00:01:10,Teacher A,English,"[unintelligible], what did you get here?",,,a,no
230,00:10:16:13,00:10:18:09,00:00:01:26,Student A9,English,"Wait, wait.",,,a,yes
231,00:10:18:11,00:10:20:26,00:00:02:15,Teacher A,English,So we're gonna get used to writing the numbers first.,,,a,no
232,00:10:21:18,00:10:24:27,00:00:03:09,Teacher A,English,This is zero point zero seven C.,,,a,no
233,00:10:25:11,00:10:29:05,00:00:03:24,Teacher A,English,Take thirty seconds and just discuss with your team what does that mean?,,,a,no
234,00:10:29:07,00:10:30:11,00:00:01:04,Teacher A,English,Why do we write that?,,,a,no
235,00:10:30:13,00:10:30:25,00:00:00:12,Teacher A,English,Go.,,,a,no
236,00:10:30:27,00:10:33:29,00:00:03:02,Student A16,English,'Cause zero point zero seven is the [unintelligible].,,,a,yes
237,00:10:34:01,00:10:34:29,00:00:00:28,Student A9,English,"Which is the tax, yeah.",,,a,yes
238,00:10:35:01,00:10:38:23,00:00:03:22,Student A16,English,"Which is the tax, and you multiple one total times...",,,a,yes
239,00:10:39:26,00:10:41:01,00:00:01:05,Student A16,English,[unintelligible].,,,a,yes
240,00:10:41:26,00:10:43:10,00:00:01:14,Student A16,English,It says I'm player one.,,,a,yes
241,00:10:44:07,00:10:47:04,00:00:02:27,Student A16,English,"Okay, [unintelligible].",,,a,yes
242,00:10:50:23,00:10:53:17,00:00:02:24,Student A1,English,I'm just gonna read while we wait.,,,a,yes
243,00:10:54:23,00:10:56:10,00:00:01:17,Student A9,English,"Stick together, stick together.",,,a,yes
244,00:10:57:00,00:10:59:09,00:00:02:09,Student A1,English,"Alright, let's see what's going on with this.",,,a,yes
245,00:10:59:11,00:11:00:29,00:00:01:16,Student A9,English,Stick together.,,,a,yes
246,00:11:01:29,00:11:03:03,00:00:01:04,Student A9,English,"[unintelligible], you got hit.",,,a,yes
247,00:11:09:20,00:11:10:18,00:00:00:28,Student A9,English,[unintelligible].,,,a,yes
248,00:11:12:21,00:11:13:12,00:00:00:21,Student A9,English,What?,,,a,yes
249,00:11:21:00,00:11:21:26,00:00:00:26,Student A9,English,What?,,,a,yes
250,00:11:22:12,00:11:23:17,00:00:01:05,Student A16,English,[unintelligible].,,,a,yes
251,00:11:24:03,00:11:24:26,00:00:00:23,Student A9,English,[unintelligible].,,,a,yes
252,00:11:27:22,00:11:29:11,00:00:01:19,Student A16,English,[unintelligible].,,,a,yes
253,00:11:31:29,00:11:32:23,00:00:00:24,Student A16,English,Keep touching it.,,,a,yes
254,00:11:32:27,00:11:36:23,00:00:03:26,Teacher A,English,You have the one hundred percent plus the seven percent.,,,a,no
255,00:11:37:04,00:11:39:12,00:00:02:08,Teacher A,English,That's a hundred and seven percent.,,,a,no
256,00:11:39:23,00:11:41:26,00:00:02:03,Teacher A,English,Multiply by the cost.,,,a,no
257,00:11:41:29,00:11:51:15,00:00:09:16,Teacher A,English,"Great, so now you're going to do this all over again, but this time with the tip.",,,a,no
258,00:11:52:03,00:11:57:17,00:00:05:14,Teacher A,English,"So, what percentage are these customers tipping at this restaurant?",,,a,no
259,00:12:00:20,00:12:02:12,00:00:01:22,Student A16,English,"[unintelligible], guys.",,,a,yes
260,00:12:02:18,00:12:04:00,00:00:01:12,Teacher A,English,Look at what it says.,,,a,no
261,00:12:05:00,00:12:07:04,00:00:02:04,Teacher A,English,These customers are tipping how much?,,,a,no
262,00:12:07:06,00:12:08:21,00:00:01:15,Teacher A,English,Look at [unintelligible].,,,a,no
263,00:12:10:15,00:12:12:08,00:00:01:23,Student A9,English,"Eighteen percent tip, so...",,,a,yes
264,00:12:13:28,00:12:14:23,00:00:00:25,Student A9,English,You know how to do that.,,,a,yes
265,00:12:17:29,00:12:19:05,00:00:01:06,Student A9,English,Total with the tip.,,,a,yes
266,00:12:19:06,00:12:25:15,00:00:06:09,Teacher A,English,"Alright, so now you wanna program this cash register to reflect that it's an eighteen-percent tip.",,,a,no
267,00:12:26:27,00:12:32:03,00:00:05:06,Teacher A,English,"Let's go; let's agree on a final answer, and I will see everybody with a check.",,,a,no
268,00:12:33:10,00:12:35:17,00:00:02:07,Student A1,English,"Wait, so the last one... Do we have to find...?",,,a,yes
269,00:12:35:19,00:12:37:08,00:00:01:19,Student A16,English,"Oh, my goodness gracious!",,,a,yes
270,00:12:38:19,00:12:44:00,00:00:05:11,Student A16,English,"One point one, seven, seven, five, seven, oh, oh, nine, three?",,,a,yes
271,00:12:44:07,00:12:44:28,00:00:00:21,Student A9,English,I don't know.,,,a,yes
272,00:12:45:00,00:12:45:18,00:00:00:18,Student A16,English,One point...,,,a,yes
273,00:12:45:20,00:12:47:04,00:00:01:14,Student A9,English,"Oh, no, yeah, that's gonna work.",,,a,yes
274,00:12:48:05,00:12:51:25,00:00:03:20,Student A16,English,"One point zero, seven, seven, zero, seven...",,,a,yes
275,00:12:51:27,00:12:52:17,00:00:00:20,Student A16,English,What?,,,a,yes
